[671930.9640999777, 3559376.3970241616]
[671660.3851929683, 3546840.6176224034]
[673676.3646278039, 3553858.0056880014]
[673250.7307079288, 3534735.790357306]
[673250.7307079288, 3534735.790357306]
[664664.2897985816, 3551443.662118267]
[665784.2928779606, 3545903.609519137]
[670139.03445006, 3546122.9007781297]
[665713.1935245584, 3546396.943068146]
[669249.9887832988, 3549048.44969801]
[677489.4237559697, 3538264.0098638805]
[667403.2576188646, 3553762.1310220934]
[666010.4678384138, 3554045.1674548946]
[667093.9912040522, 3553867.4286640864]
[669113.6216474185, 3548405.6711725863]
[665504.9060004362, 3540044.5572749963]
[669374.8788573288, 3547609.4073499944]
[664763.5283344593, 3548375.5746578267]
[673583.417551894, 3557178.4787037135]
[672529.1082505434, 3555481.5717672245]
[669180.9012607959, 3549841.3020497537]
[677896.7773920794, 3557193.275575992]
[674884.044369693, 3559464.827877369]
[669642.1815768975, 3551114.1168360854]
[670538.9919649607, 3553726.0359246316]
[666636.1312033203, 3540124.3052312895]
[673398.8570693212, 3545852.181542243]
[667598.8498024072, 3547351.2397032217]
[669422.3257888763, 3546799.2880237806]
[671052.9867570954, 3556302.334800109]
[673072.6570474452, 3538196.545245213]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[667431.5409378184, 3549807.1726066293]
[676362.5021921499, 3546276.364694254]
[673088.5593820371, 3534541.476228214]
[676362.5021921499, 3546276.364694254]
[676362.5021921499, 3546276.364694254]
[678493.4113789299, 3559231.040862523]
[676362.5021921499, 3546276.364694254]
[675652.2637917751, 3550309.4930106285]
[666033.6470495034, 3553552.894462369]
[660312.1224539247, 3545145.184023243]
[665559.3038560135, 3556097.157320893]
[670468.4991253295, 3548713.688056428]
[679143.1121591916, 3556582.5027209413]
[668850.9485759578, 3555635.948174336]
[668218.9198407982, 3557348.362000498]
